raw descriptor,level_3,level_2,level_1,type,primary taste,combined
plum_skin,plum,dark_fruit,fruit,aroma,,plum
plummi,plum,dark_fruit,fruit,aroma,,plum
plumskin,plum,dark_fruit,fruit,aroma,,plum
plump,plump,full_bodied,body,nonaroma,weight,full_bodied
plush,plush,low_tannin,tannin,nonaroma,bitter,low_tannin
alongsid_polish,polished,low_tannin,tannin,nonaroma,bitter,low_tannin
polish,polished,low_tannin,tannin,nonaroma,bitter,low_tannin
pollen,pollen,flowery,flower,aroma,,pollen
pomegran,pomegranate,red_fruit,fruit,aroma,,pomegranate
pop,pop,high_acid,acid,nonaroma,acid,high_acid
popcorn,popcorn,caramel,caramel,aroma,,popcorn
potpourri,potpourri,flowery,flower,aroma,,potpourri
powderi,powdery,low_tannin,tannin,nonaroma,bitter,low_tannin
power,powerful,high_concentration,concentration,nonaroma,,powerful
preserv_lemon,preserved_lemon,citrus_fruit,fruit,aroma,,preserved_lemon
prick,prickly,sparkling,style,nonaroma,,prickly
prune,prune,dried_fruit,fruit,aroma,,prune
pruney,prune,dried_fruit,fruit,aroma,,prune
prune_raisin,prune_raisin,dried_fruit,fruit,aroma,,prune_raisin
puckeri,puckery,high_acid,acid,nonaroma,acid,high_acid
pulpi,pulpy,fruity,fruit,aroma,,pulpy
punchi,punchy,high_concentration,concentration,nonaroma,,punchy
pungent,pungent,high_alcohol,alcohol,nonaroma,coolness,high_alcohol
purpl,purple,color,visual,nonaroma,,purple
purpl_color,purple,color,visual,nonaroma,,purple
purpl_flower,purple_flower,flowery,flower,aroma,,purple_flower
pyrazin,pyrazines,vegetable,vegetal,aroma,,pyrazines
quaffer,quaffer,low_complexity,complexity,nonaroma,,quaffer
quinc,quince,tree_fruit,fruit,aroma,,quince
raci,racy,high_acid,acid,nonaroma,acid,high_acid
raisin,raisin,dried_fruit,fruit,aroma,,raisin
raisini,raisin,dried_fruit,fruit,aroma,,raisin
raisin_prune,raisin_prune,dried_fruit,fruit,aroma,,raisin_prune
crush_raspberri,raspberry,red_fruit,fruit,aroma,,raspberry
raspberri,raspberry,red_fruit,fruit,aroma,,raspberry
raspberri_compot,raspberry,red_fruit,fruit,aroma,,raspberry
raspberri_jam,raspberry,red_fruit,fruit,aroma,,raspberry
raspi,raspy,high_tannin,tannin,nonaroma,bitter,high_tannin
redberri,red_berry,red_fruit,fruit,aroma,,red_berry
forest_berri,red_berry,red_fruit,fruit,aroma,,red_berry
red_currant,red_currant,red_fruit,fruit,aroma,,red_currant
redcurr,red_currant,red_fruit,fruit,aroma,,red_currant
pomegran_cranberri,red_fruit,red_fruit,fruit,aroma,,red_fruit
redfruit,red_fruit,red_fruit,fruit,aroma,,red_fruit
redplum,red_plum,dark_fruit,fruit,aroma,,red_plum
reduct,reductive,fruity,fruit,aroma,,reductive
touch_reduct,reductive,fruity,fruit,aroma,,reductive
reedi,reedy,leaves,vegetal,aroma,,reedy
refin,refined,light_bodied,body,nonaroma,weight,light_bodied
refresh,refreshing,high_acid,acid,nonaroma,acid,high_acid
residu_sugar,residual_sugar,sweet,sweetness,nonaroma,sweet,sweet
residu_sweet,residual_sweetness,sweet,sweetness,nonaroma,sweet,sweet
resin,resin,resinous,woody,aroma,,resin
resini,resin,resinous,woody,aroma,,resin
resini_oak,resin,resinous,woody,aroma,,resin
restrain,restrained,low_concentration,concentration,nonaroma,,restrained
restraint,restrained,low_concentration,concentration,nonaroma,,restrained
rhubarb,rhubarb,vegetable,vegetal,aroma,,rhubarb
rich,rich,full_bodied,body,nonaroma,weight,full_bodied
richer,rich,full_bodied,body,nonaroma,weight,full_bodied
rind,rind,citrus_fruit,fruit,aroma,,rind
ripe,ripe,fruity,fruit,aroma,,ripe
ripen,ripe,fruity,fruit,aroma,,ripe
riper,ripe,fruity,fruit,aroma,,ripe
ultrarip,ripe,fruity,fruit,aroma,,ripe
roast_beef,roast_beef,meat,sulfides,aroma,,roast_beef
roast_almond,roasted_almond,nutty,nutty,aroma,,roasted_almond
char_beef,roasted_meat,meat,sulfides,aroma,,roasted_meat
roast_meat,roasted_meat,meat,sulfides,aroma,,roasted_meat
robust,robust,full_bodied,body,nonaroma,weight,full_bodied
crush_rock,rocks,rocks,earth_inorganic,aroma,,rocks
crush_stone,rocks,rocks,earth_inorganic,aroma,,rocks
white_stone,rocks,rocks,earth_inorganic,aroma,,rocks
rocki,rocky,rocks,earth_inorganic,aroma,,rocky
root,root,undergrowth,earth_organic,aroma,,root
rooti,root,undergrowth,earth_organic,aroma,,root
rose,rose,flowery,flower,aroma,,rose
rose_petal,rose,flowery,flower,aroma,,rose
press_rose,rose,flowery,flower,aroma,,rose
yellow_rose,rose,flowery,flower,aroma,,rose
rose_violet,rose_violet,flowery,flower,aroma,,rose_violet
rosemari,rosemary,fresh_herbs,vegetal,aroma,,rosemary
rosewat,rosewater,flowery,flower,aroma,,rosewater
rough,rough,high_tannin,tannin,nonaroma,bitter,high_tannin
rough_edg,rough,high_tannin,tannin,nonaroma,bitter,high_tannin
round,round,full_bodied,body,nonaroma,,round
rubber,rubber,rubber,earth_inorganic,aroma,,rubber
rubberi,rubber,rubber,earth_inorganic,aroma,,rubber
rubi_color,ruby_color,color,visual,nonaroma,,ruby_color
rum_cake,rum_cake,baking_spices,spice,aroma,,rum_cake
rustic,rustic,high_tannin,tannin,nonaroma,bitter,high_tannin
rusti,rusty,color,visual,nonaroma,,rusty
saddl_leather,saddle_leather,barnyard,brettanomyces,aroma,,saddle_leather
saffron,saffron,saffron,spice,aroma,,saffron
sage,sage,fresh_herbs,vegetal,aroma,,sage
sagebrush,sagebrush,leaves,vegetal,aroma,,sagebrush
powder_sage,sage,fresh_herbs,vegetal,aroma,,sage
grill_sage,sage,fresh_herbs,vegetal,aroma,,sage
salin,saline,salinity,salinity,aroma,salt,salinity
sea_salt,saline,salinity,salinity,aroma,salt,salinity
salt,salt,salinity,salinity,aroma,salt,salinity
salti,salt,salinity,salinity,aroma,salt,salinity
sandalwood,sandalwood,resinous,woody,aroma,,sandalwood
sanguin,sanguine,meat,sulfides,aroma,,sanguine
sappi,sappy,leaves,vegetal,aroma,,sappy
root_beer,sassafras,leaves,vegetal,aroma,,sassafras
sassafra,sassafras,leaves,vegetal,aroma,,sassafras
satini,satiny,low_tannin,tannin,nonaroma,bitter,low_tannin
lend_savori,savory,vegetable,vegetal,aroma,,savory
savori,savory,vegetable,vegetal,aroma,,savory
sawdust,sawdust,resinous,woody,aroma,,sawdust
scorch_earth,scorched_earth,soil,earth_organic,aroma,,scorched_earth
scratchi,scratchy,low_tannin,tannin,nonaroma,bitter,low_tannin
semisweet_riesl,semisweet,sweet,sweetness,nonaroma,sweet,sweet
sharp,sharp,high_acid,acid,nonaroma,acid,high_acid
shimmer,shimmer,color_intensity,visual,nonaroma,,shimmer
shine,shine,color_intensity,visual,nonaroma,,shine
shoe_polish,shoe_polish,baking_spices,spice,aroma,,shoe_polish
silken,silky,low_tannin,tannin,nonaroma,bitter,low_tannin
silki,silky,low_tannin,tannin,nonaroma,bitter,low_tannin
uncompl,simple,low_complexity,complexity,nonaroma,,simple
sinewi,sinewy,high_tannin,tannin,nonaroma,bitter,high_tannin
sizzl,sizzling,high_acid,acid,nonaroma,acid,high_acid
sizzl_acid,sizzling,high_acid,acid,nonaroma,acid,high_acid
crush_slate,slate,rocks,earth_inorganic,aroma,,slate
slate,slate,rocks,earth_inorganic,aroma,,slate
sleek,sleek,low_tannin,tannin,nonaroma,bitter,low_tannin
slick,slick,oil,earth_inorganic,aroma,,slick
slight_sour,slightly_sour,high_acid,acid,nonaroma,acid,high_acid
smoke,smoke,toasted,woody,aroma,,smoke
smoki,smoke,toasted,woody,aroma,,smoke
smoki_char,smoke,toasted,woody,aroma,,smoke
whiff_smoke,smoke,toasted,woody,aroma,,smoke
smoke_bacon,smoked_bacon,bacon,brettanomyces,aroma,,smoked_bacon
smoke_meat,smoked_meat,toasted,woody,aroma,,smoked_meat
smoke_nut,smoked_nut,nutty,nutty,aroma,,smoked_nut
wood_smoke,smoky,toasted,woody,aroma,,smoky
smooth,smooth,low_tannin,tannin,nonaroma,bitter,low_tannin
snap,snappy,high_acid,acid,nonaroma,acid,high_acid
snappi,snappy,high_acid,acid,nonaroma,acid,high_acid
soapi,soapy,oil,earth_inorganic,aroma,,soapy
soft,soft,low_tannin,tannin,nonaroma,bitter,low_tannin
softer,soft,low_tannin,tannin,nonaroma,bitter,low_tannin
soil,soil,soil,earth_organic,aroma,,soil
sorbet,sorbet,fruity,fruit,aroma,,sorbet
sour,sour,high_acid,acid,nonaroma,acid,high_acid
soy,soy,caramel,caramel,aroma,,soy
soy_sauc,soy_sauce,caramel,caramel,aroma,,soy_sauce
bubbl,sparkling,sparkling,style,nonaroma,,sparkling
sparkl,sparkling,sparkling,style,nonaroma,,sparkling
sparkler,sparkling,sparkling,style,nonaroma,,sparkling
spearmint,spearmint,fresh_herbs,vegetal,aroma,,spearmint
spice,spice,baking_spices,spice,aroma,,spice
spici,spice,baking_spices,spice,aroma,,spice
spice_cake,spice_cake,baking_spices,spice,aroma,,spice_cake
spiki,spiky,high_acid,acid,nonaroma,acid,high_acid
spring_flower,spring_flower,flowery,flower,aroma,,spring_flower
light_spritzi,spritzy,high_acid,acid,nonaroma,acid,high_acid
spritz,spritzy,high_acid,acid,nonaroma,acid,high_acid
spritzi,spritzy,high_acid,acid,nonaroma,acid,high_acid
stalki,stalky,fresh_herbs,vegetal,aroma,,stalky
star_anis,star_anise,baking_spices,spice,aroma,,star_anise
steak,steak,meat,sulfides,aroma,,steak
stainless,steel,metal,earth_inorganic,aroma,,steel
stainless_steel,steel,metal,earth_inorganic,aroma,,steel
stainlesssteel_ferment,steel,metal,earth_inorganic,aroma,,steel
steel,steel,metal,earth_inorganic,aroma,,steel
steeli,steel,metal,earth_inorganic,aroma,,steel
steeli_edg,steel,metal,earth_inorganic,aroma,,steel
steeli_miner,steel,metal,earth_inorganic,aroma,,steel
stem,stemmy,fresh_herbs,vegetal,aroma,,stemmy
stemmi,stemmy,fresh_herbs,vegetal,aroma,,stemmy
stew_plum,stewed_plum,dark_fruit,fruit,aroma,,stewed_plum
stew_prune,stewed_prune,dried_fruit,fruit,aroma,,stewed_prune
stick,sticky,very_sweet,sweetness,nonaroma,sweet,very_sweet
sticki,sticky,very_sweet,sweetness,nonaroma,sweet,very_sweet
rock,stone,rocks,earth_inorganic,aroma,,stone
stone,stone,rocks,earth_inorganic,aroma,,stone
stoni,stone,rocks,earth_inorganic,aroma,,stone
apricot_peach,stone_fruit,stone_fruit,fruit,aroma,,stone_fruit
peach_apricot,stone_fruit,stone_fruit,fruit,aroma,,stone_fruit
stone_fruit,stone_fruit,stone_fruit,fruit,aroma,,stone_fruit
stonefruit,stone_fruit,stone_fruit,fruit,aroma,,stone_fruit
stout,stout,full_bodied,body,nonaroma,weight,full_bodied
straw,straw,color,visual,nonaroma,,straw
strawberri,strawberry,red_fruit,fruit,aroma,,strawberry
strawberri_jam,strawberry,red_fruit,fruit,aroma,,strawberry
strawberri_preserv,strawberry,red_fruit,fruit,aroma,,strawberry
wild_strawberri,strawberry,red_fruit,fruit,aroma,,strawberry
struck_flint,struck_flint,rocks,earth_inorganic,aroma,,struck_flint
sturdi,sturdy,full_bodied,body,nonaroma,weight,full_bodied
succul,succulent,full_bodied,body,nonaroma,weight,full_bodied
sugar,sugar,very_sweet,sweetness,nonaroma,sweet,very_sweet
sugari,sugar,very_sweet,sweetness,nonaroma,sweet,very_sweet
sulfur,sulfur,sulfur,sulfides,aroma,,sulfur
superrich,super_rich,full_bodied,body,nonaroma,weight,full_bodied
superrip,super_ripe,fruity,fruit,aroma,,super_ripe
suppl,supple,low_tannin,tannin,nonaroma,bitter,low_tannin
sweat,sweat,animal,brettanomyces,aroma,,sweat
sweati,sweat,animal,brettanomyces,aroma,,sweat
sweet,sweet,sweet,sweetness,nonaroma,sweet,sweet
sweeten,sweet,sweet,sweetness,nonaroma,sweet,sweet
sweeter,sweet,sweet,sweetness,nonaroma,sweet,sweet
sweettart,sweet,sweet,sweetness,nonaroma,sweet,sweet
sweettast,sweet,sweet,sweetness,nonaroma,sweet,sweet
syrup,syrupy,full_bodied,body,nonaroma,weight,full_bodied
syrupi,syrupy,full_bodied,body,nonaroma,weight,full_bodied
tangerin,tangerine,citrus_fruit,fruit,aroma,,tangerine
tangerin_zest,tangerine_peel,citrus_fruit,fruit,aroma,,tangerine_peel
tang,tangy,high_acid,acid,nonaroma,acid,high_acid
tangi,tangy,high_acid,acid,nonaroma,acid,high_acid
tannic,tannin,high_tannin,tannin,nonaroma,bitter,high_tannin
tar,tar,petroleum,earth_inorganic,aroma,,tar
tarri,tar,petroleum,earth_inorganic,aroma,,tar
tarragon,tarragon,fresh_herbs,vegetal,aroma,,tarragon
tart,tart,high_acid,acid,nonaroma,acid,high_acid
earl_grey,tea,dried_herbs,vegetal,aroma,,tea
green_tea,tea,dried_herbs,vegetal,aroma,,tea
tea,tea,dried_herbs,vegetal,aroma,,tea
tea_leaf,tea,dried_herbs,vegetal,aroma,,tea
tea_leav,tea,dried_herbs,vegetal,aroma,,tea
tealik,tea,dried_herbs,vegetal,aroma,,tea
thick,thick,full_bodied,body,nonaroma,weight,full_bodied
thyme,thyme,fresh_herbs,vegetal,aroma,,thyme
wild_thyme,thyme,fresh_herbs,vegetal,aroma,,thyme
tight,tight,high_tannin,tannin,nonaroma,bitter,high_tannin
tight_knit,tight,high_tannin,tannin,nonaroma,bitter,high_tannin
tight_wound,tight,high_tannin,tannin,nonaroma,bitter,high_tannin
tighter,tight,high_tannin,tannin,nonaroma,bitter,high_tannin
ting,tingling,high_acid,acid,nonaroma,acid,high_acid
tingl,tingly,sparkling,style,nonaroma,,tingly
tire,tire_rubber,rubber,earth_inorganic,aroma,,tire_rubber
tire_rubber,tire_rubber,rubber,earth_inorganic,aroma,,tire_rubber
toast,toast,toasted,woody,aroma,,toast
toast_bread,toast,toasted,woody,aroma,,toast
toasti,toast,toasted,woody,aroma,,toast
toast_almond,toasted_almond,nutty,nutty,aroma,,toasted_almond
toast_coconut,toasted_coconut,resinous,woody,aroma,,toasted_coconut
toast_hazelnut,toasted_hazelnut,nutty,nutty,aroma,,toasted_hazelnut
roast_nut,toasted_nut,nutty,nutty,aroma,,toasted_nut
toast_nut,toasted_nut,nutty,nutty,aroma,,toasted_nut
toasti_oak,toasty_oak,toasted,woody,aroma,,toasty_oak
pipe_tobacco,tobacco,dried_herbs,vegetal,aroma,,tobacco
tobacco,tobacco,dried_herbs,vegetal,aroma,,tobacco
tobacco_leaf,tobacco,dried_herbs,vegetal,aroma,,tobacco
toffe,toffee,caramel,caramel,aroma,,toffee
crush_tomato,tomato,vegetable,vegetal,aroma,,tomato
tomato_leaf,tomato,vegetable,vegetal,aroma,,tomato
tomato_vine,tomato,vegetable,vegetal,aroma,,tomato
tomatoey,tomato,vegetable,vegetal,aroma,,tomato
tree_bark,tree_bark,resinous,woody,aroma,,tree_bark
appl_pear,tree_fruit,tree_fruit,fruit,aroma,,tree_fruit
mango_pineappl,tropical_fruit,tropical_fruit,fruit,aroma,,tropical_fruit
pineappl_mango,tropical_fruit,tropical_fruit,fruit,aroma,,tropical_fruit
tropic,tropical_fruit,tropical_fruit,fruit,aroma,,tropical_fruit
truffl,truffle,mushroom,earth_organic,aroma,,truffle
umami,umami,vegetable,vegetal,aroma,,umami
underbrush,undergrowth,undergrowth,earth_organic,aroma,,undergrowth
underrip,underripe,fruity,fruit,aroma,,underripe
unoak,unoaked,light_bodied,body,nonaroma,weight,light_bodied
unrip,unripe,fruity,fruit,aroma,,unripe
vanilla,vanilla,resinous,woody,aroma,,vanilla
vanilla_bean,vanilla,resinous,woody,aroma,,vanilla
vanilla_coconut,vanilla_coconut,resinous,woody,aroma,,vanilla_coconut
vanilla_cream,vanilla_cream,resinous,woody,aroma,,vanilla_cream
vanilla_dill,vanilla_dill,resinous,woody,aroma,,vanilla_dill
cranberri_rhubarb,vegetal,vegetable,vegetal,aroma,,vegetal
veget,vegetal,vegetable,vegetal,aroma,,vegetal
alongsid_velveti,velvety,low_tannin,tannin,nonaroma,bitter,low_tannin
velvet,velvety,low_tannin,tannin,nonaroma,bitter,low_tannin
velveti,velvety,low_tannin,tannin,nonaroma,bitter,low_tannin
velveti_textur,velvety,low_tannin,tannin,nonaroma,bitter,low_tannin
velveti_tannin,velvety_tannin,low_tannin,tannin,nonaroma,bitter,low_tannin
vibranc,vibrant,high_acid,acid,nonaroma,acid,high_acid
vibrant,vibrant,high_acid,acid,nonaroma,acid,high_acid
vinegar,vinegar,volatile_acidity,acid,nonaroma,,vinegar
crush_violet,violet,flowery,flower,aroma,,violet
press_violet,violet,flowery,flower,aroma,,violet
violet,violet,flowery,flower,aroma,,violet
violet_rose,violet_rose,flowery,flower,aroma,,violet_rose
viscos,viscous,full_bodied,body,nonaroma,,viscous
viscous,viscous,full_bodied,body,nonaroma,,viscous
voluptu,voluptuous,full_bodied,body,nonaroma,weight,full_bodied
walnut,walnut,nutty,nutty,aroma,,walnut
warm,warm,high_alcohol,alcohol,nonaroma,coolness,high_alcohol
warmth,warm,high_alcohol,alcohol,nonaroma,coolness,high_alcohol
warmth_alcohol,warm,high_alcohol,alcohol,nonaroma,coolness,high_alcohol
watermelon,watermelon,melon,fruit,aroma,,watermelon
water,watery,low_concentration,concentration,nonaroma,,watery
wateri,watery,low_concentration,concentration,nonaroma,,watery
wax,wax,oil,earth_inorganic,aroma,,wax
waxi,wax,oil,earth_inorganic,aroma,,wax
weedi,weed,fresh_herbs,vegetal,aroma,,weed
weight,weight,full_bodied,body,nonaroma,weight,full_bodied
wet_clay,wet_clay,rocks,earth_inorganic,aroma,,wet_clay
damp_earth,wet_earth,soil,earth_organic,aroma,,wet_earth
wet_earth,wet_earth,soil,earth_organic,aroma,,wet_earth
wet_cement,wet_rocks,rocks,earth_inorganic,aroma,,wet_rocks
wet_rock,wet_rocks,rocks,earth_inorganic,aroma,,wet_rocks
wet_slate,wet_rocks,rocks,earth_inorganic,aroma,,wet_rocks
wet_stone,wet_rocks,rocks,earth_inorganic,aroma,,wet_rocks
white,white,color,visual,nonaroma,,white
white_almond,white_almond,nutty,nutty,aroma,,white_almond
white_blossom,white_blossom,flowery,flower,aroma,,white_blossom
white_currant,white_currant,red_fruit,fruit,aroma,,white_currant
white_flower,white_flower,flowery,flower,aroma,,white_flower
whitefruit,white_fruit,stone_fruit,fruit,aroma,,white_fruit
white_pepper,white_pepper,pepper,spice,aroma,piquant,pepper
wild_berri,wild_berry,red_fruit,fruit,aroma,,wild_berry
wild_flower,wild_flower,flowery,flower,aroma,,wild_flower
wildflow,wildflower,flowery,flower,aroma,,wildflower
wood,wood,resinous,woody,aroma,,wood
woodag,wood,resinous,woody,aroma,,wood
woodi,wood,resinous,woody,aroma,,wood
woodsi,wood,resinous,woody,aroma,,wood
wood_age,wood_age,resinous,woody,aroma,,wood_age
wood_resin,wood_resin,resinous,woody,aroma,,wood_resin
woodspic,wood_spice,resinous,woody,aroma,,wood_spice
woodland_berri,woody_berry,red_fruit,fruit,aroma,,woody_berry
yeast,yeast,yeast,microbial,aroma,,yeast
yeasti,yeast,yeast,microbial,aroma,,yeast
yellow,yellow,color,visual,nonaroma,,yellow
yellow_flower,yellow_flower,flowery,flower,aroma,,yellow_flower
yellowfruit,yellow_fruit,stone_fruit,fruit,aroma,,yellow_fruit
zest,zest,citrus_fruit,fruit,aroma,,zest
zesti,zesty,high_acid,acid,nonaroma,acid,high_acid
zing,zingy,high_acid,acid,nonaroma,acid,high_acid
zingi,zingy,high_acid,acid,nonaroma,acid,high_acid
zippi,zippy,high_acid,acid,nonaroma,acid,high_acid
